# ************************************
# University of Crete
# Computer Science Department
# 
# CS240 - Data Structures
# Project - Phase II test file
# 
# Events:    Number:
#   R         20
#   S         5
#   T         100
#   U         2
#   D         2
#   H         1
#   L         1
#   X         3
#   Y         2
# 
# Created on: 1/4/2018, 21:25:4
# ************************************
Z 100
R 762
R 247
R 262
R 949
R 799
R 821
R 855
R 480
R 166
R 138
R 681
R 566
R 104
R 562
R 225
R 827
R 269
R 581
R 240
R 266
X
S 821 566
S 821 855
S 681 581
S 855 240
S 166 581
T 762 8241 20180406 
T 762 1549 20180431 
T 762 2067 20180427 
T 762 8075 20180430 
T 762 3357 20180427 
T 247 9999 20180429 
T 247 4403 20180401 
T 247 4790 20180417 
T 247 8322 20180419 
T 247 1477 20180431 
T 262 8150 20180411 
T 262 5895 20180402 
T 262 6662 20180402 
T 262 9380 20180430 
T 262 9799 20180412 
T 949 8713 20180425 
T 949 5904 20180429 
T 949 7906 20180421 
T 949 7812 20180418 
T 949 6590 20180401 
T 799 4717 20180420 
T 799 9340 20180425 
T 799 6633 20180411 
T 799 3780 20180414 
T 799 9616 20180412 
T 821 4678 20180424 
T 821 7187 20180430 
T 821 8195 20180410 
T 821 1124 20180423 
T 821 3488 20180431 
T 855 1904 20180405 
T 855 7965 20180421 
T 855 1465 20180417 
T 855 8277 20180403 
T 855 9371 20180426 
T 480 5570 20180418 
T 480 7787 20180410 
T 480 2595 20180404 
T 480 6472 20180420 
T 480 1533 20180431 
T 166 1229 20180426 
T 166 6917 20180431 
T 166 6495 20180431 
T 166 9929 20180411 
T 166 3255 20180431 
T 138 4975 20180412 
T 138 7819 20180403 
T 138 4922 20180410 
T 138 4565 20180408 
T 138 4544 20180411 
T 681 1647 20180428 
T 681 8898 20180426 
T 681 2807 20180402 
T 681 9352 20180426 
T 681 7045 20180431 
T 566 8010 20180422 
T 566 8187 20180414 
T 566 7079 20180413 
T 566 4694 20180421 
T 566 7754 20180421 
T 104 6862 20180406 
T 104 1407 20180413 
T 104 3515 20180415 
T 104 7374 20180421 
T 104 7531 20180404 
T 562 1016 20180425 
T 562 1034 20180428 
T 562 6613 20180407 
T 562 9410 20180418 
T 562 1121 20180419 
T 225 5853 20180425 
T 225 3731 20180411 
T 225 3059 20180431 
T 225 7724 20180420 
T 225 6820 20180416 
T 827 3704 20180410 
T 827 7209 20180411 
T 827 7366 20180431 
T 827 8443 20180413 
T 827 6804 20180418 
T 269 5659 20180421 
T 269 4153 20180417 
T 269 5737 20180431 
T 269 7535 20180415 
T 269 5733 20180423 
T 581 1603 20180403 
T 581 5789 20180412 
T 581 4627 20180424 
T 581 4147 20180405 
T 581 4604 20180431 
T 240 6830 20180422 
T 240 3652 20180411 
T 240 1422 20180401 
T 240 3765 20180428 
T 240 4759 20180430 
T 266 4840 20180430 
T 266 6392 20180425 
T 266 5113 20180404 
T 266 7760 20180406 
T 266 6276 20180409 
Y
U 681 581
U 821 566
D 762
D 480
X
H 480 20180404 20180417
L 4544
X
Y
