# ************************************
# University of Crete
# Computer Science Department
# 
# CS240 - Data Structures
# Project - Phase II test file
# 
# Events:    Number:
#   R         20
#   S         5
#   T         200
#   U         2
#   D         2
#   H         1
#   L         1
#   X         3
#   Y         2
# 
# Created on: 1/4/2018, 21:25:7
# ************************************
Z 200
R 378
R 461
R 179
R 911
R 169
R 517
R 927
R 824
R 990
R 814
R 253
R 103
R 734
R 247
R 652
R 715
R 754
R 394
R 758
R 539
X
S 814 824
S 990 169
S 927 539
S 539 169
S 754 734
T 378 5628 20180408 
T 378 7632 20180413 
T 378 3821 20180407 
T 378 4015 20180404 
T 378 2709 20180404 
T 378 3607 20180407 
T 378 8505 20180415 
T 378 8267 20180417 
T 378 2634 20180405 
T 378 3250 20180411 
T 461 6606 20180423 
T 461 7292 20180402 
T 461 9425 20180401 
T 461 9953 20180429 
T 461 2942 20180426 
T 461 6257 20180423 
T 461 1586 20180410 
T 461 2311 20180412 
T 461 5692 20180415 
T 461 5478 20180423 
T 179 6483 20180425 
T 179 9146 20180414 
T 179 3170 20180423 
T 179 9653 20180414 
T 179 8625 20180407 
T 179 7915 20180415 
T 179 9507 20180415 
T 179 5571 20180428 
T 179 5307 20180416 
T 179 8351 20180422 
T 911 3988 20180413 
T 911 4820 20180413 
T 911 7498 20180418 
T 911 7982 20180408 
T 911 1460 20180409 
T 911 9592 20180421 
T 911 1546 20180427 
T 911 1932 20180410 
T 911 6152 20180403 
T 911 7523 20180414 
T 169 3488 20180416 
T 169 9009 20180407 
T 169 9647 20180413 
T 169 1928 20180414 
T 169 9106 20180429 
T 169 2204 20180408 
T 169 3888 20180418 
T 169 6669 20180402 
T 169 2157 20180413 
T 169 3578 20180406 
T 517 7113 20180408 
T 517 8561 20180423 
T 517 1910 20180430 
T 517 1377 20180421 
T 517 1079 20180424 
T 517 1841 20180409 
T 517 3340 20180431 
T 517 5564 20180407 
T 517 4433 20180419 
T 517 6941 20180409 
T 927 5773 20180425 
T 927 5634 20180427 
T 927 4171 20180405 
T 927 9048 20180415 
T 927 5956 20180406 
T 927 6947 20180408 
T 927 4798 20180416 
T 927 9730 20180417 
T 927 5002 20180401 
T 927 2772 20180415 
T 824 8009 20180410 
T 824 7650 20180402 
T 824 3465 20180408 
T 824 3336 20180421 
T 824 8708 20180429 
T 824 9437 20180412 
T 824 7424 20180415 
T 824 3143 20180403 
T 824 6376 20180405 
T 824 5925 20180405 
T 990 3819 20180407 
T 990 4403 20180423 
T 990 7381 20180411 
T 990 3326 20180405 
T 990 4243 20180415 
T 990 6466 20180405 
T 990 7711 20180411 
T 990 2601 20180401 
T 990 6332 20180414 
T 990 7074 20180414 
T 814 4216 20180419 
T 814 8522 20180403 
T 814 1584 20180403 
T 814 2237 20180421 
T 814 2858 20180422 
T 814 8294 20180417 
T 814 9034 20180406 
T 814 3294 20180419 
T 814 5833 20180416 
T 814 7799 20180428 
T 253 9718 20180412 
T 253 1329 20180423 
T 253 7382 20180407 
T 253 7607 20180410 
T 253 6869 20180413 
T 253 7756 20180401 
T 253 1195 20180419 
T 253 1728 20180403 
T 253 6945 20180407 
T 253 7741 20180427 
T 103 9127 20180418 
T 103 4480 20180425 
T 103 7734 20180420 
T 103 4577 20180409 
T 103 2396 20180405 
T 103 2645 20180404 
T 103 5642 20180407 
T 103 8546 20180407 
T 103 4905 20180418 
T 103 5740 20180403 
T 734 9835 20180409 
T 734 1862 20180401 
T 734 8776 20180406 
T 734 1811 20180417 
T 734 4555 20180427 
T 734 4524 20180410 
T 734 4588 20180425 
T 734 1845 20180405 
T 734 4780 20180416 
T 734 4892 20180418 
T 247 6800 20180420 
T 247 2443 20180426 
T 247 5838 20180412 
T 247 3416 20180404 
T 247 9209 20180411 
T 247 1827 20180406 
T 247 5054 20180403 
T 247 1482 20180420 
T 247 2670 20180418 
T 247 1200 20180401 
T 652 9728 20180410 
T 652 4811 20180424 
T 652 4729 20180418 
T 652 2515 20180429 
T 652 1027 20180424 
T 652 5953 20180420 
T 652 4984 20180423 
T 652 5075 20180431 
T 652 1866 20180423 
T 652 1815 20180401 
T 715 1685 20180406 
T 715 2782 20180417 
T 715 3502 20180408 
T 715 2383 20180415 
T 715 8468 20180406 
T 715 5395 20180425 
T 715 5467 20180429 
T 715 5931 20180429 
T 715 5342 20180423 
T 715 8350 20180416 
T 754 5139 20180412 
T 754 1934 20180428 
T 754 1700 20180418 
T 754 8947 20180406 
T 754 3503 20180431 
T 754 2642 20180411 
T 754 2406 20180412 
T 754 8927 20180414 
T 754 6689 20180402 
T 754 9081 20180415 
T 394 2895 20180412 
T 394 3356 20180422 
T 394 3683 20180426 
T 394 6559 20180425 
T 394 5734 20180414 
T 394 3395 20180431 
T 394 8213 20180412 
T 394 8998 20180428 
T 394 9340 20180424 
T 394 1481 20180407 
T 758 7708 20180408 
T 758 6031 20180428 
T 758 6548 20180414 
T 758 4022 20180408 
T 758 5270 20180408 
T 758 7396 20180422 
T 758 6580 20180431 
T 758 4528 20180429 
T 758 8040 20180401 
T 758 7290 20180410 
T 539 4998 20180430 
T 539 3649 20180408 
T 539 4016 20180406 
T 539 2126 20180409 
T 539 2608 20180415 
T 539 7301 20180413 
T 539 1230 20180419 
T 539 1281 20180415 
T 539 9438 20180409 
T 539 9459 20180406 
Y
U 814 824
U 754 734
D 247
D 652
X
H 927 20180407 20180415
L 7424
X
Y
